"filename", "language", "PHP", "PostCSS", "JSON", "JavaScript", "Markdown", "Makefile", "YAML", "Shell Script", "XML", "comment", "blank", "total"
"\\192.168.42.222\GitHub\efms_jobOrder\assets\connection.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"\\192.168.42.222\GitHub\efms_jobOrder\assets\mssql_connection.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"\\192.168.42.222\GitHub\efms_jobOrder\assets\script.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 10, 6, 32
"\\192.168.42.222\GitHub\efms_jobOrder\assets\server.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 55
"\\192.168.42.222\GitHub\efms_jobOrder\composer.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"\\192.168.42.222\GitHub\efms_jobOrder\composer.lock", "JSON", 0, 0, 1642, 0, 0, 0, 0, 0, 0, 0, 1, 1643
"\\192.168.42.222\GitHub\efms_jobOrder\container\completed_view.php", "PHP", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 158
"\\192.168.42.222\GitHub\efms_jobOrder\container\correction_view.php", "PHP", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 118
"\\192.168.42.222\GitHub\efms_jobOrder\container\dashboard_request_containers\by_category.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"\\192.168.42.222\GitHub\efms_jobOrder\container\dashboard_request_containers\category_request.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\192.168.42.222\GitHub\efms_jobOrder\container\dashboard_request_containers\daily_request.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"\\192.168.42.222\GitHub\efms_jobOrder\container\dashboard_request_containers\monthly_request.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"\\192.168.42.222\GitHub\efms_jobOrder\container\dashboard_request_containers\status_request.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\192.168.42.222\GitHub\efms_jobOrder\container\dashboard_request_containers\survey_request.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\192.168.42.222\GitHub\efms_jobOrder\container\dashboard_request_containers\total_request_overall.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"\\192.168.42.222\GitHub\efms_jobOrder\container\dashboard_request_containers\weekly_request.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"\\192.168.42.222\GitHub\efms_jobOrder\container\dashboard_user_containers\division_request.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\192.168.42.222\GitHub\efms_jobOrder\container\dashboard_user_containers\individual_request.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
